Token,Chain,Portco,Existing relationship,Suboptimal token strucutre,Restructuring Potential,Note
WET,Solana,No,Asad,yes,Yes,"They have explicitly told me they'd be open to changing tokenomics, I have a good relationship with Kevin and Connor"
JITO,Solana,No,Marek,,Yes,
Kamino,Solana,Yes,Asad/Marek,,Yes,Going token only - Long standing relationship
Hyperlend,Hyperliquid,Yes,Marek/Adam,,Yes,Cheap on a FDV/TVL basis
Huma,Solana,No,Asad/Adam,,Yes,"Entering trade finance, great team and Erbil is open to chatting"
CC,Canton,No,Asad,,No,"Not a restructuring candidate but we should get closer to the eco, I know Yuval"
Bonk,Solana,No,Asad,,Yes,"All memecoins will die, Bonk has some revenue generating apps. I used to work with Nom, he'd be open to a chat."
Plasma,Plasma,No,maybe Riley?,,Yes,
2Z,Solana,Yes,Marek,,Yes,
Raydium,Solana,No,Asad,,Yes,"They've explicitly asked me about how I can help with the token, problem is their revenue variance."
Fluid,Ethereum,No,,,Yes,The hack would probably make them desperate to restructure.
DeBridge,Solana,Yes,Marek,,Yes,"Rekt token, unlocks etc, they need help."
MagicEden,Solana,No,,,Yes,"This is now a casino which is listed on tier 1 exchanges, its very rare and we are iGaming experts - We could pitch to BetHog an RTO or even buy and grow a liquid venture position."
Jupiter,Solana,No,Asad,,No,"Would be hard to restructure here given ParaFi's investment, but their token is rekt, and they are quite receptive to chat"
MetaDAO,Solana,No,Asad,,No,
Layer3,Ethereum,No,David,,Already equity,
Pendle,Ethereum,No,,,No,
Grass,Solana,No,David,,No,
Geodnet,Multi,No,Ryan,,Yes,
Zora,Base,No,,,No,
TON,TON,No,,,No,
Helium,Solana,No,,,No,
Metaplex,Solana,No,Asad,,Yes,
Aerodrome,Base,No,David,,No,
Morpho,Ethereum,No,Marek,,No,
Sanctum,Solana,No,Asad,,Yes,
EtherFi,Ethereum,No,David,,Yes,
Spark,Ethereum,No,,,Yes,
Umbra,Solana,No,Marek/Asad,,Yes,Via a futarchy vote
Lighter,Ethereum,No,Riley,,No,
NEAR,Near,No,Marek,,No,
Derive,Multi,No,David,,No,
Turtle,Multi,No,Adam,,No,
Meteora,Solana,No,Asad,,,
